Reference area,TIME_PERIOD,OBS_VALUE
Denmark,2015,0.19
Denmark,2021,0.19
Denmark,2019,0.19
Türkiye,2019,0.06
Türkiye,2017,0.05
Türkiye,2016,0.05
Türkiye,2015,0.04
Türkiye,2022,0.07
Türkiye,2021,0.07
Türkiye,2020,0.06
Türkiye,2018,0.05
Germany,2021,0.29
Germany,2020,0.28
Germany,2019,0.28
Germany,2018,0.28
Germany,2017,0.28
Germany,2016,0.27
Germany,2015,0.27
Germany,2022,0.28
Greece,2022,0.26
Greece,2021,0.25
Greece,2020,0.24
Greece,2019,0.26
Greece,2018,0.26
Greece,2017,0.25
Greece,2016,0.23
Greece,2015,0.22
Netherlands,2020,0.25
Netherlands,2019,0.24
Netherlands,2018,0.24
Netherlands,2017,0.24
Netherlands,2016,0.23
Netherlands,2015,0.23
Netherlands,2022,0.25
Netherlands,2021,0.25
United States,2021,0.14
United States,2020,0.14
United States,2019,0.14
United States,2018,0.14
United States,2022,0.15
United States,2017,0.15
United States,2016,0.14
United States,2015,0.14
Romania,2019,0.13
Romania,2018,0.12
Romania,2017,0.11
Romania,2016,0.11
Romania,2022,0.16
Romania,2021,0.15
Romania,2020,0.14
Romania,2015,0.11
Slovenia,2021,0.16
Slovenia,2020,0.16
Slovenia,2019,0.15
Slovenia,2018,0.15
Slovenia,2017,0.14
Slovenia,2016,0.13
Slovenia,2015,0.13
Slovenia,2022,0.17
Austria,2017,0.19
Austria,2016,0.19
Austria,2015,0.18
Austria,2023,0.22
Austria,2022,0.22
Austria,2021,0.22
Austria,2020,0.21
Austria,2019,0.2
Poland,2021,0.13
Poland,2020,0.12
Poland,2018,0.09
Croatia,2018,0.16
Croatia,2017,0.16
Croatia,2016,0.16
Croatia,2015,0.16
Croatia,2022,0.19
Croatia,2021,0.18
Croatia,2020,0.17
Poland,2017,0.09
Poland,2016,0.09
Croatia,2019,0.17
Poland,2015,0.09
Poland,2022,0.13
Poland,2019,0.12
Spain,2021,0.13
Spain,2020,0.12
Spain,2019,0.12
Spain,2018,0.11
Spain,2017,0.11
Spain,2015,0.11
Spain,2016,0.1
Spain,2022,0.13
Portugal,2021,0.15
Portugal,2020,0.14
Portugal,2019,0.13
Israel,2022,0.17
Israel,2018,0.16
Israel,2017,0.16
Portugal,2015,0.12
Portugal,2022,0.15
Hungary,2021,0.14
Hungary,2020,0.14
Hungary,2019,0.15
Italy,2018,0.17
Italy,2017,0.18
Italy,2016,0.17
Italy,2015,0.18
Italy,2022,0.2
Italy,2021,0.19
Italy,2020,0.18
Italy,2019,0.17
Hungary,2018,0.15
Hungary,2017,0.15
Hungary,2022,0.15
Bulgaria,2016,0.1
Bulgaria,2015,0.1
Bulgaria,2022,0.1
Colombia,2015,0.02
Colombia,2020,0.02
Colombia,2019,0.02
France,2022,0.23
Colombia,2018,0.02
France,2021,0.23
France,2020,0.23
France,2019,0.23
France,2018,0.23
France,2017,0.23
Colombia,2017,0.02
France,2016,0.23
France,2015,0.23
Bulgaria,2021,0.1
Bulgaria,2020,0.1
Colombia,2016,0.02
Bulgaria,2019,0.1
Bulgaria,2018,0.1
Bulgaria,2017,0.1
Chile,2023,0.13
Chile,2022,0.12
Chile,2021,0.11
Chile,2020,0.11
Chile,2019,0.1
Chile,2018,0.1
Chile,2017,0.09
Chile,2016,0.09
Chile,2015,0.08
Japan,2022,0.13
Japan,2020,0.13
Japan,2018,0.13
Japan,2016,0.12
Estonia,2019,0.2
Estonia,2018,0.19
Estonia,2017,0.18
Estonia,2016,0.18
Estonia,2015,0.18
Estonia,2022,0.2
Estonia,2021,0.19
Estonia,2020,0.2
Canada,2021,0.18
Canada,2020,0.17
Canada,2019,0.17
Canada,2018,0.17
Canada,2017,0.17
Canada,2016,0.17
Canada,2015,0.17
Canada,2022,0.18
Sweden,2020,0.22
Sweden,2019,0.22
Sweden,2018,0.23
Sweden,2017,0.23
Sweden,2016,0.23
Sweden,2015,0.23
Sweden,2021,0.22
Lithuania,2021,0.25
Lithuania,2020,0.25
Lithuania,2019,0.23
Lithuania,2018,0.23
Lithuania,2017,0.24
Lithuania,2016,0.23
Lithuania,2015,0.22
Lithuania,2022,0.25
